AMZN,5/17/2019,1869,4736618,1893.05,1910.53,1867.33
MSFT,5/20/2019,126.22,23706930,126.52,127.5894,125.7607
GOOG,5/20/2019,1138.85,1353292,1144.5,1146.7967,1131.4425
AMZN,5/20/2019,1858.97,3798198,1852.69,1867.78,1835.54
MSFT,5/21/2019,126.9,15293260,127.43,127.5273,126.58
GOOG,5/21/2019,1149.63,1160158,1148.49,1152.7077,1137.94
AMZN,5/21/2019,1857.52,4005122,1874.79,1878.9999,1846
MSFT,5/22/2019,127.67,15396490,126.62,128.24,126.52
GOOG,5/22/2019,1151.42,914839,1146.75,1158.52,1145.89
AMZN,5/22/2019,1859.68,2936601,1851.78,1871.485,1851
MSFT,5/23/2019,126.18,23603810,126.2,126.29,124.74
GOOG,5/23/2019,1140.77,1199300,1140.5,1145.9725,1129.224
AMZN,5/23/2019,1815.48,4424265,1836.59,1844,1804.2
MSFT,5/24/2019,126.24,14123360,126.91,127.415,125.97
GOOG,5/24/2019,1133.47,1112341,1147.36,1149.765,1131.66
AMZN,5/24/2019,1823.28,3369673,1835.89,1841.76,1817.851
MSFT,5/28/2019,126.16,23128360,126.98,128,126.05
GOOG,5/28/2019,1134.15,1365166,1134,1151.5871,1133.12
AMZN,5/28/2019,1836.43,3199965,1832.75,1849.2669,1827.35
MSFT,5/29/2019,124.94,22763140,125.38,125.39,124.04
GOOG,5/29/2019,1116.46,1538212,1127.52,1129.1,1108.2201
AMZN,5/29/2019,1819.19,4279025,1823.12,1830,1807.5327
MSFT,5/30/2019,125.73,16829610,125.26,125.76,124.78
GOOG,5/30/2019,1117.95,951873,1115.54,1123.13,1112.12
AMZN,5/30/2019,1816.32,3146850,1825.49,1829.47,1807.825
MSFT,5/31/2019,123.68,26646770,124.23,124.615,123.32
GOOG,5/31/2019,1103.63,1508203,1101.29,1109.6,1100.18
AMZN,5/31/2019,1775.07,4618819,1790.01,1795.585,1772.7034
MSFT,6/3/2019,119.84,37983640,123.85,124.37,119.01
GOOG,6/3/2019,1036.23,5130576,1065.5,1065.5,1025
AMZN,6/3/2019,1692.69,9098708,1760.01,1766.29,1672
MSFT,6/4/2019,123.16,29382640,121.28,123.28,120.6522
GOOG,6/4/2019,1053.05,2833483,1042.9,1056.05,1033.69
AMZN,6/4/2019,1729.56,5679121,1699.24,1730.82,1680.89
MSFT,6/5/2019,125.83,24926140,124.95,125.87,124.21
GOOG,6/5/2019,1042.22,2168439,1051.54,1053.55,1030.49
AMZN,6/5/2019,1738.5,4239782,1749.6,1752,1715.2514
MSFT,6/6/2019,127.82,21458960,126.44,127.97,125.6
GOOG,6/6/2019,1044.34,1703244,1044.99,1047.49,1033.7
AMZN,6/6/2019,1754.36,3689272,1737.71,1760,1726.13
MSFT,6/7/2019,131.4,33885590,129.19,132.25,128.26
GOOG,6/7/2019,1066.04,1802370,1050.63,1070.92,1048.4
AMZN,6/7/2019,1804.03,4808246,1763.7,1806.2538,1759.49
MSFT,6/10/2019,132.6,26477100,132.4,134.08,132
GOOG,6/10/2019,1080.38,1464248,1072.98,1092.66,1072.3216
AMZN,6/10/2019,1860.63,5371007,1822,1884.87,1818
MSFT,6/11/2019,132.1,23913730,133.88,134.24,131.2757
GOOG,6/11/2019,1078.72,1437063,1093.98,1101.99,1077.6025
AMZN,6/11/2019,1863.7,4042694,1883.25,1893.7,1858
MSFT,6/12/2019,131.49,17092460,131.4,131.97,130.71
GOOG,6/12/2019,1077.03,1061255,1078,1080.93,1067.54
AMZN,6/12/2019,1855.32,2678335,1853.98,1865,1844.38
MSFT,6/13/2019,132.32,17200850,131.98,132.67,131.56
GOOG,6/13/2019,1088.77,1058000,1083.64,1094.17,1080.15
AMZN,6/13/2019,1870.3,2795810,1866.72,1883.09,1862.22
MSFT,6/14/2019,132.45,17821700,132.26,133.79,131.64
GOOG,6/14/2019,1085.35,1111643,1086.42,1092.69,1080.1721
AMZN,6/14/2019,1869.67,2851163,1864,1876,1859
MSFT,6/17/2019,132.85,14517790,132.63,133.73,132.53
GOOG,6/17/2019,1092.5,941602,1086.28,1099.18,1086.28
AMZN,6/17/2019,1886.03,2634342,1876.5,1895.688,1875.45
MSFT,6/18/2019,135.16,25934460,134.19,135.24,133.57
GOOG,6/18/2019,1103.6,1386684,1109.69,1116.39,1098.99
AMZN,6/18/2019,1901.37,3895728,1901.35,1921.67,1899.79
MSFT,6/19/2019,134.3753,2362383,135.01,135.32,134.21
GOOG,6/19/2019,1097.33,142262,1105.60,1107,1094.50
AMZN,6/19/2019,1900.43,403494,1907,1909.63,1,892.47
